method,support_budget,count,mean,std,median,min,max
P2,16,32,0.80352940028411601,0.082941665501302095,0.81744204940213927,0.58234793296157361,0.93206286446344999
P2,32,32,0.80628920847267183,0.082333098086481801,0.81967028093147065,0.5817294684078721,0.93148893218580064
P2,64,32,0.80661761105190111,0.082356456835216293,0.8172277348799164,0.57722431113216366,0.9291649585270314
P2,128,32,0.80671220528070064,0.081943165171460206,0.81767890921048869,0.57713646824701004,0.92811346534950623
P2,256,32,0.80678774185286861,0.082016587944838404,0.81765905486335888,0.5795737505385965,0.92941741465565841
T3A,16,32,0.7196444336554968,0.098239972193641806,0.73183097410935982,0.4735158753318201,0.88609427047077105
T3A,32,32,0.79555799269387073,0.090436602234061705,0.80571093695471441,0.56171591382275599,0.92657320937705279
T3A,64,32,0.82278327099952331,0.082943183410763593,0.82534937105550299,0.57356726672867775,0.93524040852552159
T3A,128,32,0.83361651697439387,0.078957186145922606,0.83926404121590581,0.60228039606443373,0.94573646784519483
T3A,256,32,0.83827300995154941,0.076872551785856502,0.84062722027510639,0.61181428716958486,0.93757637363281043
