model,receiver_seed_records,catastrophic_count,catastrophic_fraction,mean_delta_from_p0,min_delta_from_p0,threshold
DG_CORAL,160,6,0.037499999999999999,-0.00060793679870869998,-0.073742141704575104,-0.050000000000000003
DG_DANN,160,7,0.043749999999999997,-0.0047521169067368998,-0.074548935019577198,-0.050000000000000003
DG_GROUPDRO,160,73,0.45624999999999999,-0.0439242994796488,-0.1552592173091121,-0.050000000000000003
P0_WIDE,160,24,0.14999999999999999,-0.0041437207829194004,-0.12596992446599181,-0.050000000000000003
P1,160,13,0.081250000000000003,0.0037057692763756999,-0.15190209772842919,-0.050000000000000003
P2,160,22,0.13750000000000001,0.0010472954468500001,-0.11462492942226971,-0.050000000000000003
P2_MISMATCHED_RX,160,32,0.20000000000000001,-0.0185900264046071,-0.1482812600142073,-0.050000000000000003
P2_NULL,160,45,0.28125,-0.0230687320650457,-0.20239468620681769,-0.050000000000000003
P2_SHUFFLED,160,39,0.24374999999999999,-0.017316279809807301,-0.14050627017242259,-0.050000000000000003
RX_NORM,160,9,0.056250000000000001,-0.0049096628363113999,-0.086047021191298798,-0.050000000000000003
SOURCE_NORM,160,5,0.03125,0.00029774553427559997,-0.065675951480392,-0.050000000000000003
SUP_FT_128,160,0,0,0.0324021375755741,-0.0043993126291455003,-0.050000000000000003
T3A,160,0,0,0.0280137379077488,-0.048193512760500601,-0.050000000000000003
