model,run_count,parameter_count,wall_seconds_mean,peak_gpu_memory_bytes_median,inference_seconds_mean,support_encoding_flops_approx_mean,adapted_parameter_count
DG_CORAL,160,64774,284.59961764202524,166500864,,0.0,
DG_DANN,160,70754,33.203377602181199,166447616,,0.0,
DG_GROUPDRO,160,64774,98.69236487272488,166501376,,0.0,
P0,160,64774,30.992372015787101,166500864,,0.0,
P0_WIDE,160,74827,32.72243814907501,166664704,,0.0,
P1,160,73030,91.742883134231221,181449728,0.5540252135563619,577765376.0,
P2,160,75143,98.295769452562794,185805312,0.5771849964002683,577765376.0,
P2_MISMATCHED_RX,160,75143,2.8213943537689161,80650240,0.5705955184064095,577765376.0,
P2_NULL,160,75143,0.54747217833732553,80650240,0.0270804721000601,0.0,
P2_SHUFFLED,160,75143,3.6563582933314978,80650240,0.5841193785127317,577765376.0,
RX_NORM,160,64774,0.49189837438735112,71660544,0.4918983743873511,0.0,
SOURCE_NORM,160,64774,34.505398853612341,166500864,,0.0,
T3A,160,64774,0.67094623365620265,73746944,0.6709462336562027,577765376.0,
SUP_FT_128,160,64774,0.68864553249932214,73778176,,,390.0
RX_NORM_BUDGET_GRID,160,64774,0.68949349630593137,64185856,,,0.0
