model,metric,receiver_count,mean,std,median,min,max
DG_CORAL,macro_f1,32,0.80507056810428423,0.082638432927848796,0.81855598388004536,0.55525881829975221,0.9160847062912848
DG_CORAL,accuracy,32,0.81880173547610058,0.071834971718600704,0.82517123287671224,0.6304794520547945,0.91750856164383565
DG_CORAL,balanced_accuracy,32,0.81492449393074839,0.077664706162161506,0.82507341099270481,0.58370651480309854,0.91753968149462883
DG_CORAL,ece,32,0.085345121631404203,0.047197598266844699,0.072932269289923607,0.0212539548429511,0.1869683955426085
DG_DANN,macro_f1,32,0.80092638799625604,0.084789494931512097,0.8182032572114164,0.54159537472141661,0.9099660402548968
DG_DANN,accuracy,32,0.81423586664830472,0.073853125864541305,0.82450770547945207,0.60817636986301371,0.90903253424657537
DG_DANN,balanced_accuracy,32,0.8102709023138519,0.079761790337921107,0.82448062303339931,0.570309186352292,0.90905593924021699
DG_DANN,ece,32,0.082894705357957399,0.046283615704675297,0.074884700322880804,0.019226756845664598,0.18728800562006251
DG_GROUPDRO,macro_f1,32,0.76175420542334416,0.078898236883924097,0.76442043251149006,0.5482271887227852,0.89152816755557518
DG_GROUPDRO,accuracy,32,0.77751262875986782,0.068194612038518204,0.77086900684931503,0.65825340737001514,0.90175513698630139
DG_GROUPDRO,balanced_accuracy,32,0.77391185476242152,0.073015619427758402,0.77093761643328995,0.57273212434682441,0.90169239585915939
DG_GROUPDRO,ece,32,0.084448146859610204,0.044786609634914598,0.075628314917103298,0.0188221172672756,0.1767790817464254
P0,macro_f1,32,0.80567850490299298,0.084299595204680597,0.81977776667354463,0.55980637660946408,0.91508776817809323
P0,accuracy,32,0.81876861149937286,0.074192357298112993,0.82268835616438352,0.62816780821917806,0.91656678082191778
P0,balanced_accuracy,32,0.81504118034374273,0.079853830820243402,0.82267332261807935,0.58750858605826028,0.91662589938881278
P0,ece,32,0.0888508146447365,0.050317091199743799,0.073698672046884794,0.020443905643761501,0.19727842564222539
P0_WIDE,macro_f1,32,0.80153478412007362,0.090016660790242606,0.82449811818799601,0.55541216104944291,0.91535395357507876
P0_WIDE,accuracy,32,0.81577002009508504,0.078064311760182997,0.82645547945205478,0.59460616438356162,0.91459760273972601
P0_WIDE,balanced_accuracy,32,0.81193200240883323,0.083454298354200998,0.82643848341264481,0.58458842749474016,0.91458299634794882
P0_WIDE,ece,32,0.099711970622637605,0.054173617243250399,0.081246748441281602,0.031083693247574901,0.22562431730585139
P2,macro_f1,32,0.80672580034984309,0.082038752132743697,0.81781282013514056,0.57651219110825269,0.92790797830776039
P2,accuracy,32,0.81794100034423445,0.074282191549129004,0.82281678082191789,0.61365582191780832,0.92735445205479439
P2,balanced_accuracy,32,0.81453625878921132,0.079017356248932802,0.82237453369363722,0.60207441551897634,0.92735272420758164
P2,ece,32,0.108310165246653,0.053776547407336402,0.093731820825742398,0.032082149911391099,0.2403828682741532
RX_NORM,macro_f1,32,0.80076884206668164,0.086944428801966997,0.81452886775885824,0.55521440105697839,0.92554594402651524
RX_NORM,accuracy,32,0.81490041725288775,0.076128784544852002,0.82039811643835625,0.62170376712328768,0.92470034246575339
RX_NORM,balanced_accuracy,32,0.81113384633099339,0.081814421745689397,0.82040805997432453,0.58195075941256369,0.92475538827767456
RX_NORM,ece,32,0.091891360181292195,0.049137673688288003,0.082810661152056098,0.0208794340403121,0.18927728250903419
SUP_FT_128,macro_f1,32,0.83808064247856717,0.0814117007773658,0.83940722757418618,0.58346445085057319,0.93608548630786115
SUP_FT_128,accuracy,32,0.8450574565280452,0.072315392124630798,0.83899828767123275,0.68373287671232874,0.93912671232876721
SUP_FT_128,balanced_accuracy,32,0.84150131506302428,0.079137920587624394,0.83901710601979285,0.59914593827538631,0.93911115243879517
SUP_FT_128,ece,32,0.064832980248405905,0.0446073353741889,0.056136515207767197,0.0135312547294856,0.1607141318233454
T3A,macro_f1,32,0.83369224281074183,0.078929355621796801,0.83923247995070005,0.60261207138127348,0.945848686216052
T3A,accuracy,32,0.84245938443127233,0.070862147256622807,0.84148116438356158,0.68480565371024738,0.94789803220035762
T3A,balanced_accuracy,32,0.84142349543325645,0.072957654812289496,0.8414435431591647,0.65399955950949229,0.94928057127414878
T3A,ece,32,0.10295003408677519,0.032295807572022703,0.099153587828096704,0.046325449124999099,0.20815890326376241
