method,support_budget,receiver_count,macro_f1_mean,macro_f1_std,macro_f1_median,ece_mean
P2,16,32,0.80352940028411601,0.082941665501302095,0.81744204940213927,0.1104152119832856
P2,32,32,0.80628920847267183,0.082333098086481801,0.81967028093147065,0.1087673632338117
P2,64,32,0.80661761105190122,0.082356456835216293,0.8172277348799164,0.1083337023338109
P2,128,32,0.80671220528070064,0.081943165171460206,0.81767890921048869,0.1083076002793841
P2,256,32,0.80678774185286861,0.082016587944838404,0.81765905486335888,0.1084693776404335
RX_NORM,16,32,0.77009038440574584,0.094676341436144104,0.78546369508892888,0.1161571897312072
RX_NORM,32,32,0.78823028767895842,0.094201246673515301,0.80441300518830627,0.1026666623357647
RX_NORM,64,32,0.79567971786471792,0.087101641012266501,0.81073840842173928,0.095730009163306498
RX_NORM,128,32,0.80078088483444754,0.086929297976110195,0.81481973067237146,0.091856265161306405
RX_NORM,256,32,0.80326963717747546,0.086836740957817696,0.81533057394121189,0.089656160576925104
SOURCE_NORM,0,32,0.80594022374106888,0.086393759652706306,0.81748686462107756,0.087745904563017105
T3A,0,32,0.80520848605836393,0.084553027757113902,0.82021596381656903,0.052232535011907798
T3A,16,32,0.7196444336554968,0.098239972193641806,0.73183097410935982,0.095684794455472899
T3A,32,32,0.79555799269387073,0.090436602234061705,0.80571093695471441,0.083136640596449804
T3A,64,32,0.82278327099952331,0.082943183410763593,0.82534937105550299,0.094403495000366697
T3A,128,32,0.83361651697439387,0.078957186145922495,0.83926404121590581,0.1029847139751624
T3A,256,32,0.83827300995154941,0.076872551785856502,0.84062722027510639,0.095086311569033799
