method,receiver_seed_catastrophic,receiver_catastrophic,positive_receivers,mean_delta
DG_CORAL,6,0,17,-0.0006079367987087193
DG_DANN,7,0,12,-0.004752116906736941
DG_GROUPDRO,73,15,1,-0.04392429947964886
EMB_STD,0,0,32,0.022811516470818638
P0,0,0,0,0.0
P0_WIDE,24,1,17,-0.004143720782919425
P1,13,1,20,0.0037057692763757862
P2,22,0,15,0.0010472954468500459
P2_MISMATCHED_RX,32,3,7,-0.01859002640460717
P2_NULL,45,5,7,-0.023068732065045762
P2_SHUFFLED,39,4,7,-0.017316279809807336
RX_NORM,9,1,14,-0.004909662836311456
SAR_GN,0,0,3,5.6316212705180545e-06
SOURCE_NORM,5,0,16,0.000297745534275693
SUP_FT_FULL_128,1,0,32,0.11613236371800324
SUP_FT_HEAD_128,0,0,32,0.0324021375755742
T3A,0,0,31,0.02801373790774888
