method,budget,macro_f1,accuracy,balanced_accuracy,ece,adaptive_ece,nll,brier,mean_confidence,confidence_accuracy_gap,entropy
EMB_STD,0,0.8056298728910761,0.8187134195050628,0.8149939883913474,0.08888547865004136,0.08859739354736215,0.6308548469938836,0.27423460751171785,0.9064031582086614,0.08768973870359846,0.2561926571430192
EMB_STD,16,0.8133901378578121,0.8208005477975645,0.8193911097727682,0.10259155842008234,0.10206775666990962,0.7319244667678855,0.2833018012568149,0.9225210712133559,0.10172052341579134,0.21034772522331402
EMB_STD,32,0.8224438158261004,0.8297486098482175,0.8277040178204921,0.09175651699460216,0.09132823502097567,0.6454349709178181,0.2645196347845142,0.920844710077539,0.09109610022932144,0.21550430474471294
EMB_STD,64,0.8259699506260874,0.8331767060456117,0.8310719624591688,0.08856158286819377,0.08817717121577953,0.617974914288827,0.2576122163914745,0.920849781421896,0.08767307537628426,0.21585178451818646
EMB_STD,128,0.8285058259112976,0.8356402031727473,0.8334450877002717,0.08608200851469208,0.08552270525288978,0.602919134819082,0.25365415354260906,0.9207002115353462,0.08506000836259885,0.21670943121880945
EMB_STD,256,0.8290489393915738,0.8359726483591624,0.8339129368734199,0.08510504105397815,0.08489950469393844,0.5966455919444238,0.25230669159435426,0.9202846586111858,0.08431201025202334,0.217539384537583
SAR_GN,0,0.8056298728910761,0.8187134195050628,0.8149939883913474,0.08888547865489789,0.08859739354168492,0.6308548467885337,0.2742346075020781,0.9064031582106358,0.08768973870557285,0.25619265719862416
SAR_GN,16,0.8056332552648211,0.8187176091514587,0.8149981041586203,0.08889104065689758,0.08859517822326621,0.6308523501760168,0.27423189413349497,0.9064052230172099,0.08768761386575118,0.2561868298572125
SAR_GN,32,0.8056229660152939,0.8187094432509676,0.8149898830988365,0.08889630135628168,0.08860510432459355,0.630865613062832,0.27423236580668775,0.9064071767708296,0.08769773351986197,0.256181523844631
SAR_GN,64,0.8056352975813077,0.8187202967057671,0.8150008289765991,0.08888201523995502,0.08859759218006785,0.6308574734616669,0.274230399746654,0.906407384783012,0.08768708807724482,0.25618274816659015
SAR_GN,128,0.805636720173123,0.818722052101748,0.8150038045067887,0.08888043447584974,0.08860297899398538,0.6308652698019928,0.27422633793375806,0.9064145931556181,0.08769254105387012,0.2561660639342821
SAR_GN,256,0.8056288964295011,0.8187219887757746,0.8150025113292951,0.08890424538971262,0.08862376970783269,0.6309108012379651,0.27422195716388253,0.9064355083127374,0.0877135195369628,0.25611801669640183
