method,probability_variant,macro_f1,accuracy,balanced_accuracy,ece,adaptive_ece,nll,brier,mean_confidence,confidence_accuracy_gap,entropy
DG_CORAL,raw,0.8050705681042843,0.8188017354761006,0.8149244939307483,0.08534512163140427,0.08498943042757663,0.6190782615785922,0.27236597378222227,0.9025354582963835,0.08373372282028285,0.2683313783155088
DG_DANN,raw,0.800926387996256,0.8142358666483046,0.8102709023138519,0.08289470535795748,0.08251708380472554,0.6286014027932911,0.27760944723943204,0.8955221715128895,0.08128630486458485,0.29073958314018894
DG_GROUPDRO,raw,0.7617542054233442,0.7775126287598678,0.7739118547624216,0.08444814685961032,0.08435815110037138,0.6949303928700262,0.32407571206260916,0.8583829950010475,0.08087036624117958,0.3952854524925845
EMB_STD,raw,0.8284900213738117,0.835633129626344,0.8334417251571478,0.0860631920352575,0.08554206947883548,0.60278081434665,0.25362874951609954,0.920716312981287,0.08508318335494297,0.2166529730164214
EMB_STD,source_temperature,0.8284900213738117,0.835633129626344,0.8334417251571478,0.050473183252635806,0.050112620004119555,0.4923663304630143,0.2366902595125969,0.8466580023896355,0.011024872763291631,0.46351311953725877
P0,raw,0.805678504902993,0.818768611499373,0.8150411803437426,0.08885081464473663,0.0885637098050721,0.6307926309397245,0.274185691623437,0.9064381171523431,0.08766950565297008,0.2561165806369731
P0,source_temperature,0.805678504902993,0.818768611499373,0.8150411803437426,0.051346387896146053,0.051058099470747256,0.5335329407533994,0.2571652044885068,0.8364630258307191,0.01769441433134614,0.4877375671358486
P0_WIDE,raw,0.8015347841200736,0.8157700200950849,0.8119320024088331,0.09971197062263772,0.09913649128518832,0.6894232545501737,0.2831786400781791,0.9145086461761363,0.09873862608105129,0.23185729301311117
P1,raw,0.8093842741793688,0.821182540722242,0.8175398980617204,0.10389476989342049,0.10343048184079567,0.7211627420340554,0.28015373770110963,0.9243948953240108,0.10321235460176877,0.20151554114062947
P2,raw,0.8067258003498431,0.8179410003442344,0.8145362587892114,0.10831016524665305,0.10789985887968902,0.7442854626570645,0.2871910129127113,0.9256493172592238,0.10770831691498925,0.1977883544984311
P2,source_temperature,0.8067258003498431,0.8179410003442344,0.8145362587892114,0.05092408703890459,0.050446669070471434,0.5370343802905388,0.2601135977327952,0.8392898781740805,0.021348877829846038,0.4770556335056205
P2_MISMATCHED_RX,raw,0.7870884784983858,0.802328264416823,0.7983612890454344,0.12249136685869505,0.1219259948433648,0.8640337614503263,0.31473651299335753,0.924203308870197,0.12187504445337395,0.20143248748004833
P2_NULL,raw,0.7826097728379473,0.7979572412237667,0.7940843395176491,0.10690488657311319,0.10596684605068116,0.7825452451925307,0.31145841910446326,0.9023809741158227,0.10442373289205603,0.2641446687604005
P2_SHUFFLED,raw,0.7883622250931857,0.8038660270624453,0.7997880905106753,0.12164497941286408,0.12119967085479665,0.8549374709222191,0.312606536731722,0.9249277267556577,0.1210616996932124,0.19975578800098412
RX_NORM,raw,0.8007688420666815,0.8149004172528878,0.8111338463309935,0.09189136018129225,0.09143882274390223,0.6432242768243632,0.28011411475883047,0.9056407983121162,0.09074038105922834,0.25896023417266
SAR_GN,raw,0.8056841365242635,0.8187756592523626,0.8150493004534222,0.08885002785078426,0.08857069535017044,0.630803587036052,0.27417761131605095,0.9064494442108715,0.08767378495850878,0.2560900015821111
SAR_GN,source_temperature,0.8056841365242635,0.8187756592523626,0.8150493004534222,0.05140232576146792,0.05109122898095276,0.5335262156868905,0.25715666888790456,0.8364654849980534,0.0176898257456908,0.48774510417540423
SOURCE_NORM,raw,0.8059762504372687,0.8194761807264571,0.8157071117124127,0.08778359279372161,0.08743556459033254,0.6252438605933517,0.2723502610126978,0.9059680935407963,0.08649191281433918,0.25720064420494454
SUP_FT_FULL_128,raw,0.9218108686209963,0.9258085723837217,0.9217770106183735,0.022570030424593948,0.021543816836433076,0.24097720807266784,0.110300460764559,0.9382195670143989,0.012410994630677137,0.18149853510412298
SUP_FT_HEAD_128,raw,0.8380806424785672,0.8450574565280452,0.8415013150630243,0.06483298024840595,0.06465507318114155,0.49105298733511127,0.23025952150359308,0.906855382260907,0.06179792573286175,0.2584080347562956
T3A,raw,0.833692242810742,0.8424593844312722,0.8414234954332566,0.10295003408677533,0.10258210501091208,0.5019625562420393,0.23634170670043675,0.7537079207824388,-0.08875146364883346,0.7397321918070684
T3A,source_temperature,0.833692242810742,0.8424593844312722,0.8414234954332566,0.047687958106295614,0.047954705973622766,0.4592537210321015,0.22357536777082265,0.8482505189268758,0.0057911344956035156,0.44192430588754417
