model,hardware_family,receiver_count,macro_f1_mean,macro_f1_std,p0_macro_f1,delta_from_p0
DG_CORAL,B210,7,0.75707287190248962,0.076606868473798106,0.75236269082636642,0.0047101810761230999
DG_CORAL,N210,16,0.82268389824233146,0.060167713800930799,0.82222383746236871,0.00046006077996269999
DG_CORAL,X310,9,0.81108952268248524,0.1122342836245558,0.81773243574592369,-0.0066429130634383998
DG_DANN,B210,7,0.74410069100605603,0.082613914886610795,0.75236269082636642,-0.0082619998203102996
DG_DANN,N210,16,0.82301471656091651,0.058471044441555202,0.82222383746236871,0.00079087909854779999
DG_DANN,X310,9,0.80585601265145979,0.1118059563494434,0.81773243574592369,-0.011876423094463901
DG_GROUPDRO,B210,7,0.71814749107984988,0.067935796503079196,0.75236269082636642,-0.034215199746516503
DG_GROUPDRO,N210,16,0.76805710991748666,0.057548006243661402,0.82222383746236871,-0.054166727544881998
DG_GROUPDRO,X310,9,0.78446537525647519,0.1101226791572958,0.81773243574592369,-0.033267060489448497
P0,B210,7,0.75236269082636642,0.076850161132026404,0.75236269082636642,0
P0,N210,16,0.82222383746236871,0.060065215252335401,0.82222383746236871,0
P0,X310,9,0.81773243574592369,0.1146517899612982,0.81773243574592369,0
P0_WIDE,B210,7,0.73887574673072365,0.098406784166125305,0.75236269082636642,-0.013486944095642699
P0_WIDE,N210,16,0.82519821427172668,0.063247446201666904,0.82222383746236871,0.0029743768093579001
P0_WIDE,X310,9,0.8082012707088515,0.10968342117661441,0.81773243574592369,-0.0095311650370721
P2,B210,7,0.75102533816119676,0.0846276242872889,0.75236269082636642,-0.0013373526651695999
P2,N210,16,0.82221360683914502,0.0562537576320166,0.82222383746236871,-1.0230623223694836e-05
P2,X310,9,0.82251450384892,0.10630350516804681,0.81773243574592369,0.0047820681029963003
RX_NORM,B210,7,0.73900994776487428,0.085801558984561294,0.75236269082636642,-0.0133527430614921
RX_NORM,N210,16,0.82295491004195387,0.062587404773009198,0.82222383746236871,0.0007310725795851
RX_NORM,X310,9,0.80936163901204761,0.1096420041517447,0.81773243574592369,-0.0083707967338759997
SUP_FT_128,B210,7,0.78473735139238709,0.057485571849625099,0.75236269082636642,0.032374660566020598
SUP_FT_128,N210,16,0.85297450495241522,0.059896008862025799,0.82222383746236871,0.030750667490046499
SUP_FT_128,X310,9,0.85309189114764428,0.1152863133144382,0.81773243574592369,0.035359455401720502
T3A,B210,7,0.78478135768460366,0.050666485819067103,0.75236269082636642,0.032418666858237202
T3A,N210,16,0.84757264456152093,0.060255075020111799,0.82222383746236871,0.025348807099152201
T3A,X310,9,0.84705777257413117,0.1128196363364182,0.81773243574592369,0.029325336828207399
