receiver,method,scope,budget,probability_variant,macro_f1,accuracy,balanced_accuracy,ece,adaptive_ece,nll,brier,mean_confidence,mean_correctness,confidence_accuracy_gap,entropy
1-1,DG_CORAL,primary,128,raw,0.8059254545933182,0.8097174657534246,0.8096089441372036,0.0934438861702402,0.0929948552269233,0.6423506584235331,0.2875538559411846,0.902614153697066,0.8097174657534246,0.0928966879436414,0.2693922206760281
1-1,DG_DANN,primary,128,raw,0.7908404543927888,0.7979880136986301,0.7978930557526482,0.1014705802454319,0.1016818410142847,0.7204076374145747,0.3098389381547239,0.8991270883161931,0.7979880136986301,0.101139074617563,0.2789946705680494
1-1,DG_GROUPDRO,primary,128,raw,0.7596061977382209,0.7675513698630138,0.7675879841999903,0.0812973389000159,0.0814070723880694,0.6969017394701404,0.3345047681559877,0.8484971890640637,0.7675513698630138,0.0809458192010499,0.4200351028014995
1-1,EMB_STD,primary,128,raw,0.8136213506552723,0.8186215753424658,0.8184601945698283,0.0973646939974533,0.0969057342879576,0.7068780412453691,0.2807455144057112,0.9155223026310336,0.8186215753424658,0.0969007272885678,0.2266002342853262
1-1,EMB_STD,primary,128,source_temperature,0.8136213506552723,0.8186215753424658,0.8184601945698283,0.034842012431239,0.0357521508270098,0.5504965616180449,0.258277696704046,0.8303269047463724,0.8186215753424658,0.0117053294039066,0.5096305297540751
1-1,P0,primary,128,raw,0.7944210496201914,0.8018835616438356,0.8017659674365646,0.0991114420484598,0.0988022140240016,0.6872304934635468,0.2977508248979246,0.9005963984009338,0.8018835616438356,0.0987128367570981,0.2686287638901586
1-1,P0,primary,128,source_temperature,0.7944210496201914,0.8018835616438356,0.8017659674365646,0.0407670282194873,0.0423057815787119,0.5673020079224943,0.2750664177090708,0.8236473202360661,0.8018835616438356,0.0217637585922305,0.5212376582949613
1-1,P0_WIDE,primary,128,raw,0.8149706029317152,0.8175085616438356,0.8174670571329908,0.1000679726788952,0.0999952877412409,0.6332413878468355,0.2792620034002023,0.9174752237900377,0.8175085616438356,0.099966662146202,0.2215567353231882
1-1,P1,primary,128,raw,0.8471265787621768,0.8473030821917809,0.8471830054436771,0.0879547682450446,0.0873443723796573,0.5768075204584809,0.2402743642679242,0.9346132875560488,0.8473030821917809,0.0873102053642681,0.177450493742502
1-1,P2,primary,128,raw,0.8269305287665615,0.8276969178082192,0.8277103366213308,0.096860942887525,0.0964569480528366,0.6037967588005235,0.2700844679325728,0.924112040837844,0.8276969178082192,0.0964151230296247,0.2062024444659797
1-1,P2,primary,128,source_temperature,0.8269305287665615,0.8276969178082192,0.8277103366213308,0.029907947197059,0.0308756661104454,0.4797642190798755,0.2448681176477677,0.8375687419359801,0.8276969178082192,0.0098718241277609,0.4900326040421913
1-1,P2_MISMATCHED_RX,primary,128,raw,0.8129742284591748,0.8136130136986301,0.813657400313651,0.1063770032564356,0.1060365649667402,0.6669814605069304,0.2926355902489767,0.9195982416492108,0.8136130136986301,0.1059852279505807,0.2173123297398003
1-1,P2_NULL,primary,128,raw,0.8173988989819847,0.8189212328767124,0.8190741007135836,0.0800843081437051,0.0792874353708163,0.6006338680764534,0.2772522026899636,0.8978729794962866,0.8189212328767124,0.0789517466195744,0.2862751911442456
1-1,P2_SHUFFLED,primary,128,raw,0.8184169919345813,0.8184931506849316,0.8185205866005429,0.1037442659027874,0.1034698724147085,0.6343853155094934,0.2837966526021251,0.9218965050611287,0.8184931506849316,0.1034033543761972,0.2117496931440059
1-1,RX_NORM,primary,128,raw,0.7862807343228015,0.7912671232876712,0.7911853775371575,0.1063385109174741,0.1059690900988978,0.7069606746647856,0.3138778061734872,0.8972075837447424,0.7912671232876712,0.105940460457071,0.2810535465792828
1-1,SAR_GN,primary,128,raw,0.7944210496201914,0.8018835616438356,0.8017659674365646,0.0991114420484598,0.0988022140240016,0.6872304934635468,0.2977508248979246,0.9005963984009338,0.8018835616438356,0.0987128367570981,0.2686287638901586
1-1,SAR_GN,primary,128,source_temperature,0.7944210496201914,0.8018835616438356,0.8017659674365646,0.0407683015325598,0.0423066132486903,0.5673034899561692,0.2750670922487356,0.8236501208221018,0.8018835616438356,0.0217665591782662,0.5212284750522819
1-1,SOURCE_NORM,primary,128,raw,0.7944285381778478,0.7985017123287671,0.7984335286924076,0.1021899591723125,0.1022532834250428,0.6914016440764924,0.3061113500362894,0.9004795732180753,0.7985017123287671,0.1019778608893082,0.2723421249777611
1-1,SUP_FT_FULL_128,primary,128,raw,0.9180416361447076,0.9183219178082191,0.9183619485669507,0.0211374705606331,0.021297100635424,0.2538140360660436,0.1220245293472144,0.9380598575769834,0.9183219178082191,0.0197379397687642,0.1767170545221347
1-1,SUP_FT_HEAD_128,primary,128,raw,0.8212534822398044,0.8235873287671233,0.8235516995189462,0.0776586683160842,0.0773556750573932,0.5572452934839858,0.2603385112019097,0.9006567913936834,0.8235873287671233,0.0770694626265601,0.2728883546509719
1-1,T3A,primary,128,raw,0.8157255272770942,0.8178938356164384,0.8178369052038905,0.1037487555429186,0.1028860676210781,0.5616246289865698,0.2693095235417473,0.721120130705124,0.8178938356164384,-0.0967737049113142,0.8128854512642987
