receiver,method,probability_variant,bin,count,confidence_sum,correct_sum
1-1,EMB_STD,raw,0,0,0.0,0.0
1-1,EMB_STD,raw,1,0,0.0,0.0
1-1,EMB_STD,raw,2,0,0.0,0.0
1-1,EMB_STD,raw,3,2,0.5132860243320464,0.0
1-1,EMB_STD,raw,4,40,12.338519155979155,9.0
1-1,EMB_STD,raw,5,110,40.68435251712799,38.0
1-1,EMB_STD,raw,6,282,122.96509054303169,87.99999999999999
1-1,EMB_STD,raw,7,596,298.70748817920685,207.0
1-1,EMB_STD,raw,8,678,384.27750557661057,310.0
1-1,EMB_STD,raw,9,714,451.7786229252815,322.0
1-1,EMB_STD,raw,10,735,514.2819002866745,376.0
1-1,EMB_STD,raw,11,841,645.1423034071922,454.0
1-1,EMB_STD,raw,12,987,823.3538578152657,582.0
1-1,EMB_STD,raw,13,1530,1380.4988688230515,1005.0
1-1,EMB_STD,raw,14,16845,16712.05919420719,15732.0
1-1,EMB_STD,source_temperature,0,0,0.0,0.0
1-1,EMB_STD,source_temperature,1,0,0.0,0.0
1-1,EMB_STD,source_temperature,2,0,0.0,0.0
1-1,EMB_STD,source_temperature,3,27,6.826999156586789,6.0
1-1,EMB_STD,source_temperature,4,172,53.21902031698458,45.999999999999986
1-1,EMB_STD,source_temperature,5,506,187.50955565471054,168.0
1-1,EMB_STD,source_temperature,6,799,347.9673779348436,288.0
1-1,EMB_STD,source_temperature,7,1197,599.4541121056277,587.0
1-1,EMB_STD,source_temperature,8,1144,648.5887043177719,592.0
1-1,EMB_STD,source_temperature,9,1118,708.231120958178,670.0
1-1,EMB_STD,source_temperature,10,1159,811.8539129650944,768.0
1-1,EMB_STD,source_temperature,11,1325,1016.268492854144,900.0
1-1,EMB_STD,source_temperature,12,1623,1354.868028816151,1331.0
1-1,EMB_STD,source_temperature,13,3161,2861.1908039591594,2887.0
1-1,EMB_STD,source_temperature,14,11129,10800.458365836008,10880.0
1-1,P0,raw,0,0,0.0,0.0
1-1,P0,raw,1,0,0.0,0.0
1-1,P0,raw,2,0,0.0,0.0
1-1,P0,raw,3,1,0.2550892233848572,1.0
1-1,P0,raw,4,46,14.347160696983337,5.999999999999998
1-1,P0,raw,5,176,65.2924554646015,43.0
1-1,P0,raw,6,331,144.57569977641106,108.0
1-1,P0,raw,7,736,370.3215388059616,292.99999999999994
1-1,P0,raw,8,824,465.6040989756584,320.0
1-1,P0,raw,9,822,520.5696806907654,363.0
1-1,P0,raw,10,822,575.8337652087212,394.0
1-1,P0,raw,11,951,728.6655988097191,534.0
1-1,P0,raw,12,1159,967.0064064860344,702.0
1-1,P0,raw,13,1678,1514.4534606337547,1124.0
1-1,P0,raw,14,15814,15671.006911873817,14844.0
1-1,P0,source_temperature,0,0,0.0,0.0
1-1,P0,source_temperature,1,0,0.0,0.0
1-1,P0,source_temperature,2,0,0.0,0.0
1-1,P0,source_temperature,3,16,4.001997797253753,3.0
1-1,P0,source_temperature,4,192,58.711906249482,47.0
1-1,P0,source_temperature,5,550,203.65939435237848,178.0
1-1,P0,source_temperature,6,905,394.2782389142085,335.0
1-1,P0,source_temperature,7,1307,652.2186157189212,547.0
1-1,P0,source_temperature,8,1182,670.0069822150735,610.0
1-1,P0,source_temperature,9,1163,736.6223505303481,676.0
1-1,P0,source_temperature,10,1259,881.0640787398083,781.0
1-1,P0,source_temperature,11,1319,1012.6558309175149,932.0
1-1,P0,source_temperature,12,1610,1343.2823759164585,1267.0
1-1,P0,source_temperature,13,2728,2467.2482759903664,2448.0
1-1,P0,source_temperature,14,11129,10816.65135337269,10908.0
1-1,P2,raw,0,0,0.0,0.0
1-1,P2,raw,1,0,0.0,0.0
1-1,P2,raw,2,0,0.0,0.0
1-1,P2,raw,3,2,0.520216315984726,0.0
1-1,P2,raw,4,7,2.163984477519989,3.0
1-1,P2,raw,5,110,41.11787122488022,37.0
1-1,P2,raw,6,228,99.08793610334396,80.0
1-1,P2,raw,7,491,246.8580752313137,219.0
1-1,P2,raw,8,576,326.19689679145813,246.0
1-1,P2,raw,9,593,375.2171232700348,287.0
1-1,P2,raw,10,658,460.6919467449188,333.0
1-1,P2,raw,11,811,622.20967066288,468.0
1-1,P2,raw,12,1041,869.7705290317535,608.0
1-1,P2,raw,13,1655,1494.0556362867355,1087.0
1-1,P2,raw,14,17188,17049.36738783121,15967.0
1-1,P2,source_temperature,0,0,0.0,0.0
1-1,P2,source_temperature,1,0,0.0,0.0
1-1,P2,source_temperature,2,0,0.0,0.0
1-1,P2,source_temperature,3,4,0.9728005873417184,1.0
1-1,P2,source_temperature,4,130,40.34498752009911,44.0
1-1,P2,source_temperature,5,398,147.28665636767437,150.0
1-1,P2,source_temperature,6,710,309.53645236075664,290.0
1-1,P2,source_temperature,7,1023,512.5589953079387,474.99999999999994
1-1,P2,source_temperature,8,1102,623.6638511224223,619.0
1-1,P2,source_temperature,9,1162,736.2782397193146,672.0
1-1,P2,source_temperature,10,1298,909.0897888781236,841.0
1-1,P2,source_temperature,11,1365,1046.5071475500044,968.0
1-1,P2,source_temperature,12,1871,1562.9099601810947,1533.0
1-1,P2,source_temperature,13,3115,2815.57606359892,2759.0
1-1,P2,source_temperature,14,11182,10860.880868430804,10983.0
1-1,SAR_GN,raw,0,0,0.0,0.0
1-1,SAR_GN,raw,1,0,0.0,0.0
1-1,SAR_GN,raw,2,0,0.0,0.0
1-1,SAR_GN,raw,3,1,0.2550892233848572,1.0
1-1,SAR_GN,raw,4,46,14.347160696983337,5.999999999999998
1-1,SAR_GN,raw,5,176,65.2924554646015,43.0
1-1,SAR_GN,raw,6,331,144.57569977641106,108.0
1-1,SAR_GN,raw,7,736,370.3215388059616,292.99999999999994
1-1,SAR_GN,raw,8,824,465.6040989756584,320.0
1-1,SAR_GN,raw,9,822,520.5696806907654,363.0
1-1,SAR_GN,raw,10,822,575.8337652087212,394.0
1-1,SAR_GN,raw,11,951,728.6655988097191,534.0
1-1,SAR_GN,raw,12,1159,967.0064064860344,702.0
1-1,SAR_GN,raw,13,1678,1514.4534606337547,1124.0
1-1,SAR_GN,raw,14,15814,15671.006911873817,14844.0
1-1,SAR_GN,source_temperature,0,0,0.0,0.0
1-1,SAR_GN,source_temperature,1,0,0.0,0.0
1-1,SAR_GN,source_temperature,2,0,0.0,0.0
1-1,SAR_GN,source_temperature,3,16,4.002034948624947,3.0
1-1,SAR_GN,source_temperature,4,192,58.71244394084572,47.0
1-1,SAR_GN,source_temperature,5,550,203.66114687914427,178.0
1-1,SAR_GN,source_temperature,6,905,394.2813088903039,335.0
1-1,SAR_GN,source_temperature,7,1307,652.2232292992624,547.0
1-1,SAR_GN,source_temperature,8,1182,670.0121433834579,610.0
1-1,SAR_GN,source_temperature,9,1163,736.6284222270923,676.0
1-1,SAR_GN,source_temperature,10,1259,881.0706156626504,781.0
1-1,SAR_GN,source_temperature,11,1319,1012.6621977628583,932.0
1-1,SAR_GN,source_temperature,12,1610,1343.28872992239,1267.0
1-1,SAR_GN,source_temperature,13,2728,2467.2553575667675,2448.0
1-1,SAR_GN,source_temperature,14,11129,10816.6691919209,10908.0
1-1,T3A,raw,0,0,0.0,0.0
1-1,T3A,raw,1,0,0.0,0.0
1-1,T3A,raw,2,0,0.0,0.0
1-1,T3A,raw,3,64,16.226873770356175,16.999999999999996
1-1,T3A,raw,4,542,166.80104836821556,178.99999999999997
1-1,T3A,raw,5,1174,433.1539048552513,456.0
1-1,T3A,raw,6,1806,783.8705256283283,890.0
1-1,T3A,raw,7,1857,926.6676162481308,1097.0
1-1,T3A,raw,8,1738,984.7463653683662,1187.0
1-1,T3A,raw,9,1778,1126.4791163802147,1390.0
1-1,T3A,raw,10,1858,1301.8513376116753,1616.0
1-1,T3A,raw,11,2272,1743.6129086017609,2129.0
1-1,T3A,raw,12,2732,2281.3697551488876,2649.0
1-1,T3A,raw,13,2989,2687.708631813526,2952.0
1-1,T3A,raw,14,4550,4392.878169476986,4544.0
1-1,T3A,source_temperature,0,0,0.0,0.0
1-1,T3A,source_temperature,1,0,0.0,0.0
1-1,T3A,source_temperature,2,0,0.0,0.0
1-1,T3A,source_temperature,3,8,2.062107375052815,3.0
1-1,T3A,source_temperature,4,159,49.11742543227388,41.999999999999986
1-1,T3A,source_temperature,5,510,188.99262605337438,177.99999999999997
1-1,T3A,source_temperature,6,818,355.98611957948583,301.99999999999994
1-1,T3A,source_temperature,7,1300,650.0107608982207,601.0
1-1,T3A,source_temperature,8,1290,730.7750206054263,660.0
1-1,T3A,source_temperature,9,1298,822.4922292176539,763.0
1-1,T3A,source_temperature,10,1271,889.3740323148063,862.0
1-1,T3A,source_temperature,11,1478,1135.4368490355755,1115.0
1-1,T3A,source_temperature,12,1828,1524.7982173517835,1520.0
1-1,T3A,source_temperature,13,3077,2781.9775439598843,2859.0
1-1,T3A,source_temperature,14,10323,10112.06336096048,10201.0
1-19,EMB_STD,raw,0,0,0.0,0.0
1-19,EMB_STD,raw,1,0,0.0,0.0
1-19,EMB_STD,raw,2,0,0.0,0.0
1-19,EMB_STD,raw,3,1,0.2570556104183197,1.0
1-19,EMB_STD,raw,4,3,0.9412050545215607,0.0
1-19,EMB_STD,raw,5,62,23.191633701324463,18.999999999999996
1-19,EMB_STD,raw,6,204,90.12758848071098,76.0
1-19,EMB_STD,raw,7,556,281.66497153043747,205.99999999999997
1-19,EMB_STD,raw,8,681,386.19131672382355,303.0
1-19,EMB_STD,raw,9,799,506.427352309227,326.0
1-19,EMB_STD,raw,10,814,570.0882673859596,368.0
1-19,EMB_STD,raw,11,913,701.0445218086243,426.0
1-19,EMB_STD,raw,12,1164,971.7972887158394,608.0
1-19,EMB_STD,raw,13,1828,1650.8986018896103,1014.0
1-19,EMB_STD,raw,14,16335,16166.925888895988,13613.0
1-19,EMB_STD,source_temperature,0,0,0.0,0.0
1-19,EMB_STD,source_temperature,1,0,0.0,0.0
1-19,EMB_STD,source_temperature,2,0,0.0,0.0
1-19,EMB_STD,source_temperature,3,2,0.4674068510363002,1.0
1-19,EMB_STD,source_temperature,4,29,9.026033376079173,7.0
1-19,EMB_STD,source_temperature,5,221,82.73449406112282,82.0
1-19,EMB_STD,source_temperature,6,472,206.36417167658453,155.99999999999997
1-19,EMB_STD,source_temperature,7,985,494.05656438184303,436.0
1-19,EMB_STD,source_temperature,8,1185,672.2909190086664,490.0
1-19,EMB_STD,source_temperature,9,1183,749.4266664674386,569.0
1-19,EMB_STD,source_temperature,10,1231,861.2158212742246,628.0
1-19,EMB_STD,source_temperature,11,1531,1175.812712280446,843.0
1-19,EMB_STD,source_temperature,12,1907,1591.5458056671835,1147.0
1-19,EMB_STD,source_temperature,13,3015,2723.6544335124145,2161.0
1-19,EMB_STD,source_temperature,14,11599,11331.204945768326,10440.0
1-19,P0,raw,0,0,0.0,0.0
1-19,P0,raw,1,0,0.0,0.0
1-19,P0,raw,2,0,0.0,0.0
1-19,P0,raw,3,0,0.0,0.0
1-19,P0,raw,4,6,1.8302160501480103,0.0
1-19,P0,raw,5,73,27.099753469228745,22.0
1-19,P0,raw,6,248,107.90960341691971,87.0
1-19,P0,raw,7,660,332.98676535487175,259.0
1-19,P0,raw,8,892,505.2674903869629,403.0
1-19,P0,raw,9,943,597.9709239602089,439.0
1-19,P0,raw,10,906,634.9756753444672,442.0
1-19,P0,raw,11,1136,872.0600136518478,562.0
1-19,P0,raw,12,1411,1176.9651851058006,730.0
1-19,P0,raw,13,2122,1916.379565358162,1215.0
1-19,P0,raw,14,14963,14770.484946250916,12424.0
1-19,P0,source_temperature,0,0,0.0,0.0
1-19,P0,source_temperature,1,0,0.0,0.0
1-19,P0,source_temperature,2,0,0.0,0.0
1-19,P0,source_temperature,3,2,0.4744403505526268,0.0
1-19,P0,source_temperature,4,28,8.805363734549157,5.0
1-19,P0,source_temperature,5,219,81.62243122919259,69.99999999999999
1-19,P0,source_temperature,6,495,215.35087164613563,192.99999999999997
1-19,P0,source_temperature,7,1170,588.0427669315685,507.0
1-19,P0,source_temperature,8,1224,692.926806552857,576.0
1-19,P0,source_temperature,9,1299,822.3969037593163,639.0
1-19,P0,source_temperature,10,1414,990.1118581876945,689.0
1-19,P0,source_temperature,11,1612,1237.7511180324918,898.0
1-19,P0,source_temperature,12,1999,1669.475785777075,1187.0
1-19,P0,source_temperature,13,3177,2870.642576412281,2242.0
1-19,P0,source_temperature,14,10721,10460.495447699699,9577.0
1-19,P2,raw,0,0,0.0,0.0
1-19,P2,raw,1,0,0.0,0.0
1-19,P2,raw,2,0,0.0,0.0
1-19,P2,raw,3,0,0.0,0.0
1-19,P2,raw,4,6,1.8305943608283994,2.0
1-19,P2,raw,5,38,14.012495368719101,10.0
1-19,P2,raw,6,83,36.30400061607361,31.0
1-19,P2,raw,7,309,156.59357878565788,116.0
1-19,P2,raw,8,461,260.8404085636139,213.0
1-19,P2,raw,9,507,321.7255650162697,241.0
1-19,P2,raw,10,576,403.9381271004677,251.99999999999997
1-19,P2,raw,11,632,484.7895607352257,322.0
1-19,P2,raw,12,850,708.9845232367516,413.0
1-19,P2,raw,13,1272,1150.9939492344856,683.0
1-19,P2,raw,14,18626,18506.44553977251,14619.0
1-19,P2,source_temperature,0,0,0.0,0.0
1-19,P2,source_temperature,1,0,0.0,0.0
1-19,P2,source_temperature,2,0,0.0,0.0
1-19,P2,source_temperature,3,7,1.7244023638363841,1.0
1-19,P2,source_temperature,4,40,12.430678146010123,16.0
1-19,P2,source_temperature,5,143,53.273708694933106,46.0
1-19,P2,source_temperature,6,343,149.9477445689098,137.0
1-19,P2,source_temperature,7,760,381.997544466411,344.0
1-19,P2,source_temperature,8,932,527.1289598006142,432.0
1-19,P2,source_temperature,9,1005,637.1039894667188,508.0
1-19,P2,source_temperature,10,1058,740.987334837521,530.0
1-19,P2,source_temperature,11,1212,930.9375426713381,645.0
1-19,P2,source_temperature,12,1642,1370.2264999045883,904.0
1-19,P2,source_temperature,13,2680,2421.3304910348575,1699.0
1-19,P2,source_temperature,14,13538,13264.33709194946,11640.0
1-19,SAR_GN,raw,0,0,0.0,0.0
1-19,SAR_GN,raw,1,0,0.0,0.0
1-19,SAR_GN,raw,2,0,0.0,0.0
1-19,SAR_GN,raw,3,0,0.0,0.0
1-19,SAR_GN,raw,4,6,1.8297765254974365,0.0
1-19,SAR_GN,raw,5,76,28.281301885843277,25.0
1-19,SAR_GN,raw,6,243,105.78500467538834,84.0
1-19,SAR_GN,raw,7,661,333.36971071362495,257.0
1-19,SAR_GN,raw,8,893,505.90622997283936,401.0
1-19,SAR_GN,raw,9,940,596.1661442518234,435.0
1-19,SAR_GN,raw,10,906,634.9728181362152,447.0
1-19,SAR_GN,raw,11,1139,874.3721116781235,564.0
1-19,SAR_GN,raw,12,1399,1166.7339245080948,723.0
1-19,SAR_GN,raw,13,2134,1926.9554055929182,1222.0
1-19,SAR_GN,raw,14,14963,14770.85976666212,12425.0
1-19,SAR_GN,source_temperature,0,0,0.0,0.0
1-19,SAR_GN,source_temperature,1,0,0.0,0.0
1-19,SAR_GN,source_temperature,2,0,0.0,0.0
1-19,SAR_GN,source_temperature,3,2,0.4744403505526268,0.0
1-19,SAR_GN,source_temperature,4,29,9.143080476500995,6.0
1-19,SAR_GN,source_temperature,5,214,79.66506564398132,70.0
1-19,SAR_GN,source_temperature,6,501,217.96476911912166,192.99999999999997
1-19,SAR_GN,source_temperature,7,1163,584.4622172036177,493.0
1-19,SAR_GN,source_temperature,8,1225,693.3560063710702,586.0
1-19,SAR_GN,source_temperature,9,1308,828.2915514983455,640.0
1-19,SAR_GN,source_temperature,10,1401,981.017509015756,682.0
1-19,SAR_GN,source_temperature,11,1618,1242.173882815534,906.0
1-19,SAR_GN,source_temperature,12,1994,1665.2898154594727,1183.0
1-19,SAR_GN,source_temperature,13,3180,2873.3749527294062,2242.0
1-19,SAR_GN,source_temperature,14,10725,10464.53700317306,9582.0
1-19,T3A,raw,0,0,0.0,0.0
1-19,T3A,raw,1,0,0.0,0.0
1-19,T3A,raw,2,0,0.0,0.0
1-19,T3A,raw,3,19,4.7315134555101395,7.0
1-19,T3A,raw,4,210,65.20527651906013,67.0
1-19,T3A,raw,5,904,336.9745622575283,353.0
1-19,T3A,raw,6,1837,802.7480591237545,859.9999999999999
1-19,T3A,raw,7,2495,1246.8714304268358,1256.0
1-19,T3A,raw,8,2333,1319.643293440342,1221.0
1-19,T3A,raw,9,2123,1343.6757557988167,1170.0
1-19,T3A,raw,10,1819,1271.4092268943787,1227.0
1-19,T3A,raw,11,1729,1325.4328174591064,1414.0
1-19,T3A,raw,12,2006,1676.3363609313965,1860.0
1-19,T3A,raw,13,3700,3344.6594173312187,3684.0
1-19,T3A,raw,14,4185,4012.729475557804,4185.0
1-19,T3A,source_temperature,0,0,0.0,0.0
1-19,T3A,source_temperature,1,0,0.0,0.0
1-19,T3A,source_temperature,2,0,0.0,0.0
1-19,T3A,source_temperature,3,5,1.2611051319135056,3.0
1-19,T3A,source_temperature,4,44,13.799870127987491,11.0
1-19,T3A,source_temperature,5,292,109.63955011522648,105.0
1-19,T3A,source_temperature,6,782,341.48640532055595,321.0
1-19,T3A,source_temperature,7,1572,789.9085951670168,728.0
1-19,T3A,source_temperature,8,1680,951.8026212581952,809.0
1-19,T3A,source_temperature,9,1694,1073.2877627700366,864.0
1-19,T3A,source_temperature,10,1742,1221.3089547167388,879.0
1-19,T3A,source_temperature,11,1753,1345.9927724962463,962.0
1-19,T3A,source_temperature,12,1777,1481.4898517880488,1166.0
1-19,T3A,source_temperature,13,2260,2038.854397905177,1846.0
1-19,T3A,source_temperature,14,9759,9576.70380137445,9610.0
1-20,EMB_STD,raw,0,0,0.0,0.0
1-20,EMB_STD,raw,1,0,0.0,0.0
1-20,EMB_STD,raw,2,0,0.0,0.0
1-20,EMB_STD,raw,3,3,0.7446248233318328,0.0
1-20,EMB_STD,raw,4,33,10.285364925861359,4.999999999999999
1-20,EMB_STD,raw,5,143,53.29325607419014,50.0
1-20,EMB_STD,raw,6,264,115.48942363262177,90.0
1-20,EMB_STD,raw,7,510,256.7765665650368,211.0
1-20,EMB_STD,raw,8,673,380.8382034897804,284.0
1-20,EMB_STD,raw,9,655,415.3487027287483,324.0
1-20,EMB_STD,raw,10,624,436.5436576604843,321.0
1-20,EMB_STD,raw,11,792,608.0049676299095,479.0
1-20,EMB_STD,raw,12,993,829.6908215284348,663.0
1-20,EMB_STD,raw,13,1502,1357.0805052518845,1111.0
1-20,EMB_STD,raw,14,17168,16997.624843239784,16592.0
1-20,EMB_STD,source_temperature,0,0,0.0,0.0
1-20,EMB_STD,source_temperature,1,0,0.0,0.0
1-20,EMB_STD,source_temperature,2,0,0.0,0.0
1-20,EMB_STD,source_temperature,3,14,3.5241484734991992,2.0
