method,regime,source_labels,source_receiver_ids,source_validation,target_support,target_support_labels,query_access,test_gradients,updated_parameters,prototype_updates,statistics,extra_source_work
P0,R0,YES,split_only,checkpoint,0,NO,prediction_only,0,none,NO,packet_RMS,none
P0_WIDE,R0,YES,split_only,checkpoint,0,NO,prediction_only,0,none,NO,packet_RMS,capacity_matched_training
DG_CORAL,R0,YES,YES,checkpoint,0,NO,prediction_only,0,none,NO,source_alignment,frozen_source_training
DG_DANN,R0,YES,YES,checkpoint,0,NO,prediction_only,0,none,NO,packet_RMS,frozen_adversarial_training
DG_GROUPDRO,R0,YES,YES,checkpoint,0,NO,prediction_only,0,none,NO,packet_RMS,frozen_robust_training
SOURCE_NORM,R0,YES,split_only,checkpoint,0,NO,prediction_only,0,none,NO,source_input_moments,frozen_source_training
P1,R1,YES,equality_only,checkpoint,128,NO,prediction_only,0,none,NO,mean_context,frozen_context_training
P2,R1,YES,equality_only,checkpoint,128,NO,prediction_only,0,none,NO,attentive_context_k32,frozen_context_training
P2_SHUFFLED,R1_control,YES,equality_only,checkpoint,128,NO,prediction_only,0,none,NO,shuffled_support,none
P2_MISMATCHED_RX,R1_control,YES,equality_only,checkpoint,128,NO,prediction_only,0,none,NO,source_validation_donor_support,none
P2_NULL,R1_control,YES,equality_only,checkpoint,0,NO,prediction_only,0,none,NO,no_peer_information,none
RX_NORM,R1,YES,split_only,checkpoint,128,NO,prediction_only,0,none,NO,receiver_input_moments,separate_frozen_source_normalized_checkpoint
T3A,R1,YES,split_only,source_filter_selection,128,NO,prediction_only,0,none,YES,support_embeddings,none
SAR_GN,R1_posthoc,YES,split_only,paper_defaults,128,NO,prediction_only,2,GN_affine,NO,no_BN_statistics,none
EMB_STD,R1_posthoc,YES,split_only,no_target_selection,128,NO,prediction_only,0,none,NO,source_aligned_feature_moments,source_training_embedding_moments
SUP_FT_HEAD_128,R2_oracle,YES,split_only,recipe_selection,128,YES,prediction_only,source_selected,head_only,NO,packet_RMS,none
SUP_FT_FULL_128,R2_oracle_posthoc,YES,split_only,recipe_selection,128,YES,prediction_only,5_or_20,full_network,NO,packet_RMS,none
